#options: 624x1076 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:87 out:87 type:P dur:2 cpbdur:2 q:25.40 aq:15.52 tex:2100 mv:556 misc:912 imb:10 pmb:116 smb:2526 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:25.40 aq:14.10 tex:1212 mv:347 misc:745 imb:10 pmb:75 smb:2567 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:25.40 aq:17.90 tex:10112 mv:2653 misc:1435 imb:31 pmb:309 smb:2312 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:25.40 aq:17.68 tex:7264 mv:2166 misc:1370 imb:28 pmb:272 smb:2352 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:25.40 aq:17.80 tex:15886 mv:4061 misc:1549 imb:53 pmb:437 smb:2162 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:25.40 aq:17.03 tex:1884 mv:544 misc:932 imb:13 pmb:108 smb:2531 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:25.40 aq:18.51 tex:10140 mv:3196 misc:1464 imb:34 pmb:362 smb:2256 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:25.40 aq:17.60 tex:9114 mv:2417 misc:1429 imb:52 pmb:293 smb:2307 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:25.40 aq:18.61 tex:10682 mv:2738 misc:1380 imb:36 pmb:322 smb:2294 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:25.40 aq:17.00 tex:1459 mv:413 misc:768 imb:12 pmb:73 smb:2567 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:25.40 aq:18.59 tex:10724 mv:3221 misc:1407 imb:52 pmb:329 smb:2271 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:25.40 aq:13.89 tex:144927 mv:19898 misc:2791 imb:859 pmb:1556 smb:237 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:25.40 aq:15.73 tex:22118 mv:4637 misc:2189 imb:55 pmb:663 smb:1934 d:- ref:0 ;
